company_id,record_ids,employer_name,fair_days,fair_day_count,is_multi_day_company,website,company_careers_website,description,positions_recruited,degree_levels_recruited,academic_years_recruited,academic_year_recruitment_notes,degrees_majors_recruited,work_authorization_sponsorship,work_authorization_notes,sponsorship_flag,sponsorship_status,sponsorship_basis,sponsorship_evidence,regions_recruited,accept_hardcopy_resumes,role_titles,role_source_url,role_last_checked
am_mechanical,am_mechanical__monday,AM Mechanical,Monday,1,False,https://am-mech.com/,https://am-mech.com/careers/,"AM Mechanical is a nationwide, full service mechanical contractor specializing in the installation of process mechanical systems. With over 30 years of industry experience, AM Mechanical's strength is our expertise in mechanical design and installations for specialty industries including Plastics, Industrial Laundries, Food Processing, and Material Handling. Are you ready for a best-in-class Internship, Co-op, or Entry-level experience with a design-build leader that includes applied experience in a work hard/play hard, fun culture? ARCO's unique opportunities will complement your degree and prepare you to hit the ground running upon graduation. Apply today!","Full-Time, Internship, Co-op","Bachelors, Masters","Second year undergraduate student, Third year undergraduate student, Fourth year + undergraduate student, Masters level student","Freshman, Sophomore, Junior, Senior and Masters","Bachelors Mechanical Engineering, Masters Mechanical Engineering, Bachelors Civil Engineering, Masters Civil Engineering","Authorized to work in the United States and WILL NOT require future sponsorship, Work visa that will require future sponsorship (e.g., OPT, CPT, J1, etc.), Will need immediate sponsorship",Able to sponsor,Yes,Yes,work_authorization_notes,Able to sponsor,"Midwest, Southwest",True,,,
arco,arco__monday,ARCO,Monday,1,False,arcodb.com,arcodb.com,"ARCO is a nationally ranked design-build leader in the construction industry, and our exemplary work requires the best talent. We are looking for Intern, Co-op, and Entry-level candidates interested in acquiring hands-on experience in a high-energy culture where you will be a valued team member contributing to extraordinary construction projects. You'll be highly involved in various project types and gain in-depth knowledge in project management, engineering, safety, architecture, design, and technology. Are you ready for a best-in-class experience with a design-build leader in a work hard/play hard, fun culture? ARCO's unique opportunities will complement your degree and prepare you to hit the ground running upon graduation. Apply today!","Co-op, Full-Time, Internship","Bachelors, Masters","First year undergraduate student, Fourth year + undergraduate student, Masters level student, Second year undergraduate student, Third year undergraduate student","Freshman, Sophomore, Junior, Senior and Masters","Bachelors Civil Engineering, Bachelors Mechanical Engineering, Masters Civil Engineering","Authorized to work in the United States and WILL NOT require future sponsorship, Will need immediate sponsorship, Work visa that will require future sponsorship (e.g., OPT, CPT, J1, etc.)",Able to sponsor.,Yes,Yes,work_authorization_notes,Able to sponsor.,"Midwest, Northeast, Southeast, Southwest, West, Outside of the U.S.",True,,,
asm,asm__monday,ASM,Monday,1,False,https://www.asm.com/our-company/asm-in-arizona,https://www.asm.com/careers,"Step into a career with ASM, where cutting edge technology meets collaborative culture. ​ For over 55 years ASM has been ahead of what’s next, at the forefront of innovation and what’s technologically possible. With more than 4,500 ASMers representing 70 nationalities, our people and our advanced semiconductor devices are playing a crucial role in trends such as 5G, cloud computing, AI, and autonomous driving. But we’re more than just a tech company. We value diversity, inclusion and sustainability as we strive to make a positive impact on the world. Our development programs help support your growth, shaping your future and pushing the boundaries of innovation to unleash potential.","Full-Time, Internship","Doctoral, Masters","Masters level student, Third year undergraduate student, First year undergraduate student, Doctoral level student","Masters, PhD and Post Doc","Masters Mechanical Engineering, Masters Manufacturing, Masters Electrical Engineering, Masters Chemical Engineering, Masters Civil Engineering, Doctoral Chemical Engineering, Doctoral Civil Engineering","Work visa that will require future sponsorship (e.g., OPT, CPT, J1, etc.), Authorized to work in the United States and WILL NOT require future sponsorship",we provide sponsorship,Yes,Yes,work_authorization_notes,we provide sponsorship,"Midwest, Northeast, Southeast, Southwest, West",False,,,
accenture,accenture__tuesday,Accenture,Tuesday,1,False,accenture.com,accenture.com/campus,"Accenture is a leading global professional services company that helps the world’s leading businesses, governments and other organizations build their digital core, optimize their operations, accelerate revenue growth and enhance citizen services—creating tangible value at speed and scale. We are a talent- and innovation-led company with approximately 791,000 people serving clients in more than 120 countries.",Internship,"Bachelors, Masters",Third year undergraduate student,Actively hiring for 2026 Summer Analysts. December 2026 and May 2027 graduates are eligible to apply,"Bachelors Aerospace Engineering, Bachelors Biomedical Engineering, Bachelors Chemical Engineering, Bachelors Civil Engineering, Bachelors Climate and Meteorology, Bachelors Computer Engineering, Bachelors Computer Science, Bachelors Data Science, Bachelors Electrical Engineering, Bachelors Engineering (undeclared), Bachelors Engineering Physics, Bachelors Environmental Engineering, Bachelors Industrial and Operations Engineering, Bachelors Materials Science and Engineering, Bachelors Mechanical Engineering, Bachelors Naval Architecture and Marine Engineering, Bachelors Nuclear Engineering and Radiological Sciences, Bachelors Robotics, Bachelors Space Science and Engineering",Authorized to work in the United States and WILL NOT require future sponsorship,,No,No,default_no_explicit_sponsorship,Authorized to work in the United States and WILL NOT require future sponsorship,"Midwest, Northeast, Southeast, Southwest, West",False,,,
advantagecs,advantagecs__monday,AdvantageCS,Monday,1,False,https://www.advantagecs.com/,https://www.advantagecs.com/careers,"AdvantageCS (ACS) is a leading software developer and service provider for the media and online services industry, with prestigious clients worldwide. Our corporate philosophy is to develop enduring relationships with our clients through commitment to their success. Our international reputation for quality products, services, and people is extremely important for our own success. Foundational to this success is our track record of attracting exceptional people and making ACS a great place for them to work. We offer a competitive wage and outstanding benefits package, including comprehensive insurance and an on-site fitness center complete with a racquetball court. We maintain a professional yet informal work environment that promotes teamwork and a healthy balance between work and family. Onsite childcare is available.",Full-Time,Bachelors,Fourth year + undergraduate student,,"Bachelors Computer Engineering, Bachelors Computer Science",Authorized to work in the United States and WILL NOT require future sponsorship,,No,No,default_no_explicit_sponsorship,Authorized to work in the United States and WILL NOT require future sponsorship,Midwest,False,,,
airflow_sciences_corporation,airflow_sciences_corporation__tuesday,Airflow Sciences Corporation,Tuesday,1,False,https://www.airflowsciences.com/,https://www.airflowsciences.com/contact/jobs,"Airflow Sciences Corporation, Livonia, Michigan, is an engineering consulting company that designs and tests a wide range of fluid dynamic equipment. Analysis and design techniques include Computational Fluid Dynamics (CFD) modeling, laboratory testing, and field measurements at client sites. Our customers hire us to optimize the design and operation of their plants and products. Current clients include electric power companies, pollution control manufacturers, food processing companies, biotechnology firms, auto suppliers, and aerodynamic designers. We are seeking capable aerospace or mechanical engineers with a strong background and interest in fluid dynamics.","Full-Time, Internship","Bachelors, Doctoral, Masters","Third year undergraduate student, Recent Alumni (up to two years post graduation), Masters level student, Fourth year + undergraduate student, Doctoral level student, Second year undergraduate student",,"Bachelors Aerospace Engineering, Bachelors Chemical Engineering, Bachelors Mechanical Engineering, Masters Aerospace Engineering, Masters Chemical Engineering, Masters Mechanical Engineering, Doctoral Aerospace Engineering, Doctoral Mechanical Engineering, Masters Manufacturing",Authorized to work in the United States and WILL NOT require future sponsorship,,No,No,default_no_explicit_sponsorship,Authorized to work in the United States and WILL NOT require future sponsorship,Midwest,True,,,
akuna_capital,akuna_capital__monday,Akuna Capital,Monday,1,False,https://akunacapital.com/,https://akunacapital.com/careers,"Akuna Capital is an innovative trading firm with a strong focus on collaboration, cutting-edge technology, data-driven solutions, and automation. We specialize in providing liquidity as an options market maker, meaning that we provide competitive quotes that we are willing to both buy and sell. To do this successfully, we design and implement our own low-latency technologies, trading strategies, and mathematical models. This work is powered by close collaboration across our four departments: Technology, Trading, Quant, and Operations.","Full-Time, Internship","Bachelors, Doctoral, Masters","Doctoral level student, Masters level student, Fourth year + undergraduate student, Third year undergraduate student",,"Bachelors Computer Engineering, Bachelors Computer Science, Bachelors Data Science, Bachelors Electrical Engineering, Bachelors Engineering (undeclared), Doctoral Computer Science and Engineering, Masters Applied Physics, Masters Computer Science and Engineering, Masters Data Science, Masters Electrical and Computer Engineering","Authorized to work in the United States and WILL NOT require future sponsorship, Will need immediate sponsorship, Work visa that will require future sponsorship (e.g., OPT, CPT, J1, etc.)","Akuna Capital is a global company which wants to attract the highest quality talent. We will sponsor any qualified candidate for US work authorization if we are legally able; including, but not limited to, the following work-authorized classifications: TN, E-3, STEM OPT, H-1B, H1B1, and more. Unfortunately we are unable to sponsor in the H-1B cap lottery for candidates without alternative work authorization options.",Maybe,Limited,work_authorization_notes,"Akuna Capital is a global company which wants to attract the highest quality talent. We will sponsor any qualified candidate for US work authorization if we are legally able; including, but not limited to, the following work-authorized classifications: TN, E-3, STEM OPT, H-1B, H1B1, and more. Unfortunately we are unable to sponsor in the H-1B cap lottery for candidates without alternative work authorization options.",Midwest,False,,,
alfa_financial_software_inc,alfa_financial_software_inc__tuesday,Alfa Financial Software Inc,Tuesday,1,False,https://www.alfasystems.com/en-us,https://www.alfasystems.com/en-us/careers/graduate-programme,"We’re Alfa, the makers of Alfa Systems - the first choice SaaS platform for equipment and auto finance companies, worldwide. We make complex projects run smoothly.",Full-Time,Bachelors,"Fourth year + undergraduate student, Recent Alumni (up to two years post graduation)",No internships availability at this time. Open to all majors if you are looking for a career in software implementation and consulting!,"Bachelors Computer Science, Bachelors Aerospace Engineering, Bachelors Biomedical Engineering, Bachelors Chemical Engineering, Bachelors Civil Engineering, Bachelors Climate and Meteorology, Bachelors Computer Engineering, Bachelors Data Science, Bachelors Electrical Engineering, Bachelors Engineering (undeclared), Bachelors Engineering Physics, Bachelors Environmental Engineering, Bachelors Industrial and Operations Engineering, Bachelors Materials Science and Engineering, Bachelors Mechanical Engineering, Bachelors Naval Architecture and Marine Engineering, Bachelors Nuclear Engineering and Radiological Sciences, Bachelors Robotics, Bachelors Space Science and Engineering",Authorized to work in the United States and WILL NOT require future sponsorship,We are unfortunately unable to sponsor at this time or in the foreseeable future.,No,No,work_authorization_notes,We are unfortunately unable to sponsor at this time or in the foreseeable future.,"Midwest, Remote work opportunities may be available",True,,,
alvarez_and_marsal,alvarez_and_marsal__tuesday,Alvarez & Marsal,Tuesday,1,False,https://www.alvarezandmarsal.com/,https://careers.alvarezandmarsal.com/,"About A&M: Privately-held since 1983, Alvarez & Marsal (“A&M”) is a leading global professional services firm that delivers performance improvement, turnaround management and business advisory services to organizations seeking to transform operations, catapult growth and accelerate results through decisive action.","Full-Time, Internship","Bachelors, Masters","Third year undergraduate student, Fourth year + undergraduate student, Masters level student",We are primary looking to recruit rising juniors and above.,"Bachelors Civil Engineering, Bachelors Computer Engineering, Bachelors Computer Science, Bachelors Data Science, Bachelors Aerospace Engineering, Bachelors Engineering (undeclared), Bachelors Engineering Physics, Bachelors Environmental Engineering, Bachelors Industrial and Operations Engineering, Bachelors Mechanical Engineering",Authorized to work in the United States and WILL NOT require future sponsorship,We are unable to offer sponsorship for any positions.,No,No,work_authorization_notes,We are unable to offer sponsorship for any positions.,"West, Southwest, Southeast, Northeast, Midwest",False,,,
ambarella_corp,ambarella_corp__tuesday,Ambarella Corp.,Tuesday,1,False,www.ambarella.com,ambarella.com,"Ambarella’s products are used in a wide variety of human and computer vision applications, including video security, advanced driver assistance (ADAS), electronic mirror, drive recorder, driver/cabin monitoring, autonomous driving, and other robotics applications. Ambarella’s low-power and high-resolution video compression, image processing, and deep neural network processors and software enable cameras to become more intelligent by extracting valuable data from high-resolution video streams.",Internship,"Doctoral, Masters","Masters level student, Doctoral level student",Masters first and Second year,"Doctoral Electrical Engineering, Masters Electrical and Computer Engineering, Masters Electrical Engineering","Work visa that will require future sponsorship (e.g., OPT, CPT, J1, etc.), Authorized to work in the United States and WILL NOT require future sponsorship",,Maybe,Potential (work-auth only),work_authorization_sponsorship,"Work visa that will require future sponsorship (e.g., OPT, CPT, J1, etc.), Authorized to work in the United States and WILL NOT require future sponsorship",West,True,,,
